"cases","village","week"
192.286605869796,"A",1
224.668783563989,"A",2
202.976319545416,"A",3
215.448250977099,"A",4
190.107844548029,"A",5
185.31880362087,"A",6
186.170330623995,"A",7
199.949667695885,"A",8
207.561551923035,"A",9
211.437598598938,"A",10
210.791301220658,"A",11
215.111178642272,"A",12
243.472135729897,"A",13
202.049655803117,"A",14
192.22359434642,"A",15
230.910508706812,"A",16
197.600504280029,"A",17
210.775810261867,"A",18
217.157365105654,"A",19
226.818780546685,"A",20
215.958752949634,"A",21
205.750304494962,"A",22
222.663250869706,"A",23
209.388159393005,"A",24
211.174339367637,"A",25
175.9770544621,"A",26
175.493165868428,"A",27
182.694006257219,"A",28
178.935824391549,"A",29
159.027594208064,"A",30
192.826692455611,"A",31
187.582411614865,"A",32
199.925059010208,"A",33
188.936648922651,"A",34
173.529507939187,"A",35
217.651998050788,"A",36
188.618216014885,"A",37
217.13197952986,"A",38
215.501236774613,"A",39
219.487323260031,"A",40
192.557928057308,"A",41
196.887326531164,"A",42
215.303067131489,"A",43
227.463228996032,"A",44
216.686548754491,"A",45
219.565729466254,"A",46
245.886903533677,"A",47
215.752177620164,"A",48
241.205714114544,"A",49
259.447300710294,"A",50
286.564976342902,"A",51
217.088678386202,"A",52
235.770598847655,"A",53
246.916143068543,"A",54
214.968731566518,"A",55
235.220885917172,"A",56
205.339802404986,"A",57
204.490069387368,"A",58
198.759475994741,"A",59
222.941641197097,"A",60
217.334432402212,"A",61
223.485967554827,"A",62
215.260281352164,"A",63
219.856430219746,"A",64
188.483930979038,"A",65
191.727895557196,"A",66
178.000409457168,"A",67
222.34074755726,"A",68
238.243711297228,"A",69
220.531200056175,"A",70
242.461192183045,"A",71
261.458592713329,"A",72
264.920953339913,"A",73
222.84747795374,"A",74
236.031897369636,"A",75
212.463060121288,"A",76
221.752377508102,"A",77
238.178647660599,"A",78
228.782036981663,"A",79
229.354949992637,"A",80
224.780149104849,"A",81
222.616437613607,"A",82
171.438171248885,"A",83
167.909874650531,"A",84
162.680529539417,"A",85
166.091617154549,"A",86
200.976413544698,"A",87
242.166473014623,"A",88
212.031213054918,"A",89
216.074960982926,"A",90
188.337619581842,"A",91
189.386952713692,"A",92
224.154964754869,"A",93
256.526666819577,"A",94
269.115308582932,"A",95
235.363104556152,"A",96
263.366943417622,"A",97
187.283031010331,"A",98
237.9154171372,"A",99
194.143014361255,"A",100
174.370855073965,"A",101
161.499315560907,"A",102
205.632879663196,"A",103
195.793464103068,"A",104
182.546462412581,"A",105
221.024513621206,"A",106
253.976421978611,"A",107
223.936537030758,"A",108
211.344240030403,"A",109
221.408797188694,"A",110
257.8121253548,"A",111
313.999655774083,"A",112
242.966284946113,"A",113
264.936178719315,"A",114
255.726692272868,"A",115
321.088784763294,"A",116
305.184742503386,"A",117
356.313984879597,"A",118
312.995427341896,"A",119
279.613931808797,"A",120
311.039192060464,"A",121
314.475242249927,"A",122
308.928754775903,"A",123
322.396966852375,"A",124
325.414821514114,"A",125
329.234806848124,"A",126
291.388477160057,"A",127
317.005466562241,"A",128
298.054998565671,"A",129
252.060878817037,"A",130
224.236335988349,"A",131
221.723662018054,"A",132
254.604305487491,"A",133
218.569916138947,"A",134
257.370808487139,"A",135
235.838080375846,"A",136
245.367487087104,"A",137
224.253709965656,"A",138
260.608887007442,"A",139
308.678327703095,"A",140
316.318473227509,"A",141
288.408756962317,"A",142
316.394941350993,"A",143
351.919790070938,"A",144
384.526621695751,"A",145
362.672314005356,"A",146
352.313829608276,"A",147
358.208721662827,"A",148
396.434460382334,"A",149
348.784964616078,"A",150
402.811001775136,"A",151
366.041603162745,"A",152
349.539779653022,"A",153
323.1377457652,"A",154
289.736288249888,"A",155
282.312450192755,"A",156
261.715529663064,"A",157
317.016137259309,"A",158
299.748600867208,"A",159
314.325284483358,"A",160
319.646386027819,"A",161
290.581643705714,"A",162
332.143804770876,"A",163
323.315069374871,"A",164
308.65269666418,"A",165
321.094852518601,"A",166
364.880153342189,"A",167
399.090973824538,"A",168
407.157560418366,"A",169
371.530210559339,"A",170
394.91978463304,"A",171
351.508256766516,"A",172
369.12854026426,"A",173
329.965221815638,"A",174
365.823711717318,"A",175
352.147946084328,"A",176
370.620375005998,"A",177
377.503724736111,"A",178
377.271376342544,"A",179
366.634707824342,"A",180
399.016730346648,"A",181
359.549416491384,"A",182
313.816963167663,"A",183
219.476657589504,"A",184
242.892636866337,"A",185
252.500883636522,"A",186
264.091503036548,"A",187
191.857566544396,"A",188
239.069836833549,"A",189
213.926245699445,"A",190
217.506566635401,"A",191
197.453796317787,"A",192
217.711725348284,"A",193
255.64309358268,"A",194
240.207013102405,"A",195
219.307412961281,"A",196
249.115672315539,"A",197
226.400980575484,"A",198
227.090879245352,"A",199
222.059561113118,"A",200
250.352631869828,"A",201
261.939111220174,"A",202
242.594033613393,"A",203
249.218659868171,"A",204
292.172931237396,"A",205
307.21626604889,"A",206
258.447784557781,"A",207
266.355462999125,"A",208
293.407178729961,"A",209
259.614951428778,"A",210
266.616919537961,"A",211
249.585068396275,"A",212
268.002354894219,"A",213
254.695835042196,"A",214
274.598873501434,"A",215
252.323479554052,"A",216
251.292611809031,"A",217
254.212316890099,"A",218
231.879280095358,"A",219
231.766153103962,"A",220
203.688766053444,"A",221
245.571224055605,"A",222
251.235800877383,"A",223
270.86595993464,"A",224
232.85207810314,"A",225
261.616857528662,"A",226
229.39094367417,"A",227
228.793991128577,"A",228
215.25562847724,"A",229
251.443994813796,"A",230
246.254242810992,"A",231
273.886702089121,"A",232
244.62427861867,"A",233
272.940008122523,"A",234
274.854024016094,"A",235
291.780157022286,"A",236
229.328317338862,"A",237
265.435342918742,"A",238
281.212529813935,"A",239
251.534210299952,"A",240
255.097285311021,"A",241
245.118432176522,"A",242
265.257553087546,"A",243
292.119840092078,"A",244
269.1961915433,"A",245
295.378907074504,"A",246
300.567935182298,"A",247
321.277700868409,"A",248
413.350810310635,"A",249
442.586296155358,"A",250
397.9807087902,"A",251
431.119387668166,"A",252
428.219368293703,"A",253
407.049653664248,"A",254
456.975794095338,"A",255
428.863607578796,"A",256
368.611636436585,"A",257
402.213660305663,"A",258
381.696089092128,"A",259
413.63979231952,"A",260
353.177501982748,"A",261
362.524176965774,"A",262
428.944754403686,"A",263
499.240042561445,"A",264
484.716781962617,"A",265
475.700433990413,"A",266
452.208503908594,"A",267
437.202627742969,"A",268
262.164249300601,"A",269
450.560465715661,"A",270
462.737195666734,"A",271
456.437701483729,"A",272
445.670881310877,"A",273
430.680904178513,"A",274
401.507228451296,"A",275
417.497859788026,"A",276
419.713459661529,"A",277
432.383914454952,"A",278
428.218307793009,"A",279
381.432698728903,"A",280
357.979912033505,"A",281
359.017008132229,"A",282
356.771475827549,"A",283
372.621889016975,"A",284
331.274373605951,"A",285
327.379325414215,"A",286
318.787254660462,"A",287
317.303453772159,"A",288
285.802125304072,"A",289
312.777990669087,"A",290
282.519393244652,"A",291
309.442893986499,"A",292
308.296329227093,"A",293
331.622360985743,"A",294
370.041139475782,"A",295
394.544041981535,"A",296
395.594077311722,"A",297
378.602172992575,"A",298
361.639734291894,"A",299
423.005304892511,"A",300
521.373246538807,"A",301
513.727399559472,"A",302
