"Date" "Seroprevalence" "Trapping_succes"
"2007-06-15" "1.21293800539084" "64"
"2007-07-15" "0" "50"
"2007-08-15" "5.47889610389609" "122"
"2007-09-15" "9.22989681551324" "216"
"2007-10-15" "8.88905614933012" "124"
"2007-11-15" "7.54711297474455" "148"
"2007-12-15" "10.2850969880322" "172"
"2008-01-15" "9.50243984824084" "129"
"2008-02-15" "9.02610530724682" "84"
"2008-03-15" "11.169427587338" "32"
"2008-04-15" "3.33333333333333" "30"
"2008-05-15" "6.88775510204081" "15"
"2008-06-15" "3.42425431711146" "31"
"2008-07-15" "2.54120879120879" "43"
"2008-08-15" "1.69643756505389" "64"
"2008-09-15" "1.39767932489452" "105"
"2008-10-15" "5.09862427113703" "142"
"2008-11-15" "7.21527320605662" "207"
"2008-12-15" "5.40929078813846" "218"
"2009-01-15" "8.25046040515655" "191"
"2009-02-15" "8.96176148090195" "152"
"2009-03-15" "4.61278754044404" "88"
"2009-04-15" "0.987841945288756" "31"
"2009-05-15" "0" "12"
"2009-06-15" "0" "17"
"2009-07-15" "0" "23"
"2009-08-15" "0.823327615780447" "86"
"2009-09-15" "1.88679245283019" "164"
"2009-10-15" "3.21706996051432" "167"
"2009-11-15" "5.65030746026221" "157"
"2009-12-15" "4.25803457477665" "166"
"2010-01-15" "3.13307017611887" "168"
"2010-02-15" "4.93435423420937" "106"
"2010-03-15" "6.55461283177362" "69"
"2010-04-15" "6.91815746262207" "35"
"2010-05-15" "9.37946925154934" "32"
"2010-06-15" "8.82352941176471" "34"
"2010-07-15" "10.9379235565194" "62"
"2010-08-15" "15.3891296843235" "140"
"2010-09-15" "16.9002595476455" "258"
"2010-10-15" "18.0597524983172" "347"
"2010-11-15" "21.0860467782619" "369"
"2010-12-15" "23.3170927945647" "342"
"2011-01-15" "24.769222752931" "271"
"2011-02-15" "29.8610687022901" "128"
"2011-03-15" "29.5909914373752" "117"
"2011-04-15" "35.4516806722689" "64"
"2011-05-15" "34.8215516053466" "56"
"2011-06-15" "23.6296552519313" "61"
"2011-07-15" "20.7616119146978" "112"
"2011-08-15" "19.1041184134337" "176"
"2011-09-15" "19.0783149971048" "269"
"2011-10-15" "21.1507751421464" "278"
"2011-11-15" "23.3225178455548" "229"
"2011-12-15" "22.282165039929" "237"
"2012-01-15" "25.4326981429785" "141"
"2012-02-15" "28.3094759257069" "91"
"2012-03-15" "24.5674287770255" "59"
"2012-04-15" "16.2541824516771" "34"
"2012-05-15" "5.9113300492611" "19"
"2012-06-15" "0" "9"
"2012-07-15" "0" "8"
"2012-08-15" "3.28282828282828" "14"
"2012-09-15" "11.1034798534799" "47"
"2012-10-15" "14.690170940171" "77"
"2012-11-15" "15.5705705705706" "112"
"2012-12-15" "15.6180039583401" "148"
"2013-01-15" "6.91244239631335" "79"
"2013-02-15" "4.30769230769231" "17"
"2013-03-15" "3.18302387267904" "13"
"2013-04-15" "11.7283950617284" "7"
"2013-05-15" "10.752688172043" "5"
"2013-06-15" "2.41935483870968" "3"
"2013-07-15" "0" "1"
"2013-08-15" "3.33333333333334" "2"
"2013-09-15" "15.8900836320191" "9"
"2013-10-15" "11.2305854241338" "40"
"2013-11-15" "15.3225806451613" "69"
"2013-12-15" "16.8970814132104" "65"
"2014-01-15" "28.1746031746031" "46"
"2014-02-15" "22.0551378446115" "25"
"2014-03-15" "14.8227712137487" "12"
"2014-04-15" "3.57142857142857" "13"
"2014-05-15" "0" "5"
"2014-06-15" "0" "2"
"2014-07-15" "0" "9"
"2014-08-15" "0.246305418719212" "15"
"2014-09-15" "6.10792373967391" "45"
"2014-10-15" "22.0658110053035" "120"
"2014-11-15" "36.050307113792" "154"
"2014-12-15" "43.217827997489" "104"
"2015-01-15" "40.7560664112388" "64"
"2015-02-15" "40.4672226706125" "59"
"2015-03-15" "38.2788831572914" "69"
"2015-04-15" "39.5531400966184" "44"
"2015-05-15" "46.264367816092" "15"
"2015-06-15" "22.7272727272727" "5"
"2015-07-15" "5.7471264367816" "8"
"2015-08-15" "10.2934102934103" "26"
"2015-09-15" "7.73809523809524" "47"
"2015-10-15" "5.17765310892941" "36"
"2015-11-15" "12.35926628716" "35"
"2015-12-15" "22.1008403361345" "30"
"2016-01-15" "18.0476190476191" "20"
"2016-02-15" "4" "8"
"2016-03-15" "7.35930735930737" "5"
"2016-04-15" "19.6428571428571" "6"
"2016-05-15" "13.6363636363636" "4"
"2016-06-15" "0" "2"
"2016-07-15" "0" "3"
"2016-08-15" "0" "7"
"2016-09-15" "5.18518518518518" "42"
"2016-10-15" "16.8447293447294" "90"
"2016-11-15" "26.6417757774141" "101"
"2016-12-15" "35.2365512507988" "80"
"2017-01-15" "27.980094197103" "60"
"2017-02-15" "25.141065830721" "52"
"2017-03-15" "43.2716049382716" "44"
"2017-04-15" "62.8125" "31"
